Question_Content,"Option 1
","Option 2
","Option 3
","Option 4
",Correct
"What is data?
","Processed information
","Organized facts
","Raw material and unorganized facts
","Multimedia content
","Raw material and unorganized facts
"
"Which of the following is NOT considered traditional
 data?
","Text
","Numbers
","Audio
","Images
","Audio
"
"What does information represent?
","Unstructured data
","Processed and meaningful data
","Raw facts
","Multimedia files
","Processed and meaningful data
"
"What is a database?
","A collection of unrelated data
","A random set of information
","A collection of related data representing
 real-world entities
","A software application
","A collection of related data representing real-world entities
"
"Which format is NOT typically associated with data?
","Video
","Numbers
","Fiction
","Text
","Fiction
"
"What is the primary purpose of processing data?
","To make it harder to analyze
","To organize it randomly
",,"To delete irrelevant information
",
"Which of the following is an example of a multimedia data
 type?
","Numbers
","Text
","To make it meaningful and useful


Images
","Tables
","To make it meaningful and useful


Images
"
"What does a Database Management System (DBMS) do?
","Compiles video games
","Controls and manages databases
","Produces multimedia content
","Analyzes stock markets
","Controls and manages databases
"
"Which of the following is an example of data?
","An organized report
","A list of product prices
","A completed research paper
","A summarized presentation
","A list of product prices
"
"In what structure can data be organized in a database?
","Graphs and charts
","Tables, rows, and columns
","Paragraphs and essays
","Lists and bullet points
","Tables, rows, and columns
"
"What is an example of information?
","A raw score on a test
","A grade report summarizing student
 performance
","A student's name
","A single review comment
","A grade report summarizing student performance
"
"Which of the following is a type of traditional data?
","Audio
","Video
","Text
","Images
","Text
"
"What is a primary function of a database?
","To create multimedia files
","To store, retrieve, and manage data
","To write novels
","To analyze stock prices
","To store, retrieve, and manage data
"
"Which of the following entities could be represented in a
 database?
","Weather conditions
","A professor's profile
","Random thoughts
","An art style
","A professor's profile
"
"What transforms data into information?
","Random collection
","Processing
","Ignoring it
","Compiling in a notebook
","Processing
"
"What is the primary function of a file system?
","Store data
","Organize files
","Execute programs
","Manage memory
","Organize files
"
"Which of the following is an example of a file system?
","SQL
","NTFS
","Python
","Java
","NTFS
"
"What structure do directories in a file system typically
 create?
","Linear
","Circular
","Hierarchical
","Random
","Hierarchical
"
"What is a key operation performed by a file system?
","Data backup
","File naming
","Data recovery
","SQL queries
","File naming
"
"Which system is used for managing collections of related
 data?
","File System
","Database Management System
","Operating System
","Compiler
","Database Management System
"
"How can data be retrieved in a Database Management
 System?
","Through folders
","By memory allocation
","Using SQL queries
","By file naming
","Using SQL queries
"
"What is one of the security features of a Database
 Management System?
","File compression
","Data recovery
","Access control
","Data duplication
","Access control
"
"What does SQL stand for in the context of databases?
","Structured Query Language
","Simple Query Language
","Sequential Query Language
","Standard Query Language
","Structured Query Language
"
"What mechanism does a Database Management System
 provide for data safety?
","Compression
","Data recovery
","Indexing
","Fragmentation
","Data recovery
"
"What is the primary function of a Database Management
 System?
","Manage data
","Create websites
","Analyze data
","Encrypt data
","Manage data
"
"Which of the following is NOT a benefit of using a DBMS?
","Data security
","Data redundancy
","Program independence
","Data manipulation
","Data redundancy
"
"What does DBMS stand for?
","Data Base Management System
","Digital Backup Management System
","Data Backup Management System
","Dynamic Backup Management System
","Data Base Management System
"
"Which language is primarily used to fetch data from a
 database?
","HTML
","SOL
","XML
","Python
","SQL
"
"What type of data representation does a database
 provide?
","Physical representation
","Logical representation
","Visual representation
","Abstract representation
","Logical representation
"
"What is a key characteristic of a database?
","It is static
","It is self-describing
","It requires manual updates
","It has fixed formats
","It is self-describing
"
"In a database, what is a table composed of?
","Records anly
","Fields only
","Rows and columns
","Just keys
","Rows and columns
"
"What is meant by ""program-data independence""?
","Data is encrypted
","Data and program are linked
","Data structure is separate from programs
","Programs are self-managing
","Data structure is separate from programs
"
"A database can be viewed as what?
","A temporary storage
","A collection of unrelated data
","A repository of related data
","A single file
","A repository of related data
"
"What is an example of a database application?
","Word processor
","Spreadsheet
","Membership system
","Presentation software
","Membership system
"
"What does metadata in a database do?
","Stores user data
","Defines data and relationships
","Provides user access
","Encrypts the database
","Defines data and relationships
"
"What is a ""view"" in a database context?
","A graphic representation
","A user-defined subset of data
","A table of contents
","A security feature
","A user-defined subset of data
"
"What can a DBMS help manage?
","Only user data
","Only financial data
","All types of data
","None
","All types of data
"
"Which department in a bank might use a DBMS?
","Personnel
","Cleaning
","Security
","Marketing
","Personnel
"
"What is a characteristic of a self-describing database?
","It has no metadata
","It contains metadata
","It is difficult to manage
","It is always fixed
","It contains metadata
"
"In a DBMS, what is the significance of data recovery
 mechanisms?
","Only for data deletion
","To enhance performance
","To restore lost data
","To format the database
","To restore lost data
"
"How does a database support multiple views of data?
","Through file duplication
","By isolating data
","By creating different subsets
","By merging tables
","By creating different subsets
"
"Which of the following is NOT a feature of a database?
","Data consistency
","Program dependency
","Data integration
","Data manipulation
","Program dependency
"
"What is one use of a database in social service
 organizations?
","Data entry only
","Client-tracking
","Web hosting
","Graphic design
","Client-tracking
"
"Why is insulation between program and data important?
","Simplifies coding
","Reduces redundancy
","Allows for easier updates
","Enhances security
","Allows for easier updates
"
