Question_Content,Option1,Option1,Option1,Option1,Correct
?? = {??|?? ???? ???? ?????????????? ????????????? + ???? ?????? ? ????} is _______set.,,,,,(c) Singleton set
2. Which of the following is the tabular form of the set ?? = {??|?? ???? ???? ?????? ?????????????? ???????? ??????? 20} ?,,,,,"(a) ?? = {??, ??, ??, … , ????}"
"Given ?? = {2,3,4} and ?? = {4,5} , Which of the following is correct?",,,,,(c) ?? ? ?
"If ?? = {1,9,10}, ?? = {3,4,6,11,12} and ?? = {2,5,6} , then find ?? ? (?? ? ??)?",,,,,"(d) {??, ??, ??, ????}"
What is the size of set ?? = {?}?,,,,,(a) 1
Which of the following are the examples of an empty set?,,,,,"(c) {x : x ? N, 5 < x < 6}"
Which of the following are the examples of a finite set?,,,,,(a) The set of days in a week
Which of the following are the examples of an infinite set?,,,,,"(a) P = {x : x ? Z, x < - 1}"
Find the cardinal number of the set of months in a year.,,,,,(d) 12
What is the size of set ?? = { }?,,,,,(b) 0
What is the size of set of Natural numbers?,,,,,(d) ?
"Let A = (a, b, c, d, e, f}, then d __ A",,,,,(a) ?
"Let A = (a, b, c, d, e, f}, then y __ A",,,,,(c)?
"Let A = (a, b, c, d, e, f}, then m __ A",,,,,(c)?
"Let A = (a, b, c, d, e, f}, then a __ A",,,,,(a) ?
"Let A = (a, b, c, d, e, f}, then e __ A",,,,,(a) ?
Which of the following is a well-defined set?,,,,,(b) All the colors in the rainbow.
Which of the following is a well-defined set?,,,,,(d) All the points that lie on a straight line.
Which of the following is not a well-defined set?,,,,,(b) All the tall boys of the school.
Which of the following is not a well-defined set?,,,,,(d) All the hardworking teachers in a school.
(d) All the hardworking teachers in a school.,,,,,(d) B = {O}
"What is the size of set ?? = {0,1}?",,,,,(c) 2
"Let A={1,2,3} and B={3,4,5}. A ? B = ____",,,,,(a) {3}
A ? A’ = ___,,,,,(c) ?
Which of the following matrix is singular matrix?,,,,,(b) [ ?? ?? ?? ?? ]
Find the determinant of matrix [ 2 ?1 0 1 ].,,,,,(a) 2
Find the determinant | 4 ?5 ?3 3 ?3 2 8 ?10 ?6 |,,,,,(a) 0
The determinant of zero matrix is ____.,,,,,(b) 0
|?? ?? | =,,,,,(c) |??|
"If |??| = | 1 2 0 4 2 ?1 3 1 1 | = ?11, then | 3 1 1 4 2 ?1 1 2 0 | = _____",,,,,(b) 11
"If two rows and two columns of the determinant are identical (same), then the value of a determinant is________.",,,,,(a) 0
"If |??| = | 1 2 0 4 2 ?1 3 1 1 | = ?11, then | 2 4 0 4 2 ?1 3 1 1 | = ____",,,,,(c) -22
If all the elements of any Row or any column of a determinant are zero then the value of a determinant is _____,,,,,(a) 0
Which of the following is row matrix?,,,,,(b) ?? = [?? ??]
Which of the following is column matrix?,,,,,(a) ?? = [ ?? ?? ]
