"Question_Content","Option1","Option2","Option3","Correct"
"What is the process of creating new words in a language called?","Word Formation","Compounding","Derivation","Word Formation"
"Which of the following is an example of compounding?","Football","Basketball","Clipping","Basketball"
"The word 'replay' is an example of which type of word formation?","Blending","Derivation","Affixation","Derivation"
"Which of the following is derived by blending?","Basketball","Football","Smoke + Fog","Smoke + Fog"
"What does the process of affixation involve?","Adding prefixes or suffixes","Changing word class","Borrowing","Adding prefixes or suffixes"
"Which of the following is an example of backformation?","Editor from Edit","Running from Run","Affixation","Editor from Edit"
"What does the word 'unhappiness' illustrate?","Affixation","Blending","Clipping","Affixation"
"What type of word formation is used in the creation of 'internet'?","Compounding","Blending","Derivation","Blending"
"Which of these words is an example of clipping?","Doc from Document","Internet","Smile","Doc from Document"
"What is the primary purpose of conversion in word formation?","Changing word class","Adding a prefix","Affixation","Changing word class"
"Which of the following is a result of borrowing?","Borrowing","Coinage","Affixation","Chocolate from Aztec"
"Which of these words is formed by affixation?","Happy + Ness","Internet","Smile","Happy + Ness"
"What is the definition of a 'neologism'?","A newly coined word","Affixation","Clipping","A newly coined word"
"'Brunch' is a result of which word formation process?","Coinage","Blending","Affixation","Blending"
"Which of the following is an example of coinage?","Google","Chocolate","Editor","Google"
"What does 'television' demonstrate in word formation?","Affixation","Clipping","Blending","Affixation"
"Which of these is an example of derivation?","Happiness","Blending","Clipping","Happiness"
"What is the meaning of 'onomatopoeia'?","A sound word","A new word","Clipping","A sound word"
"What process results in the creation of the word 'smog'?","Blend","Affixation","Clipping","Blend"
"Which of these words is formed by reduplication?","Chitty chat","Blending","Coinage","Chitty chat"
"What is the synonym of 'happy'?","Joyful","Sad","Angry","Joyful"
"What is the antonym of 'ancient'?","Modern","Old","Elder","Modern"
"Which of the following is a homonym?","Bat (flying animal & sports equipment)","Ball","Cake","Bat (flying animal & sports equipment)"
"Which of these is a homophone?","Sea and See","Read and Read","To and Too","Sea and See"
"What is the synonym of 'fast'?","Slow","Hard","Strong","Quick"
"What is the antonym of 'brave'?","Cowardly","Bold","Fearless","Cowardly"
"Which of the following words is a homophone?","Knight and Night","Blue and Blew","Made and Maid","Knight and Night"
"'If I ____ him, I would have told him the news.'","had seen","will see","would see","had seen"
"Choose the correct sentence: 'If I ____ enough money, I would buy a new car.'","have","will have","would have","had"
"What is the correct form: 'If it ____ today, we can go for a walk'?","didn't rain","won't rain","rain","doesn't rain"
"Which sentence is an example of a mixed conditional?","If she had studied, she would have passed","If he were here, he would help","If he had known, he would be happy now","If he had known, he would be happy now"
"'If I ____ more time, I would travel the world.'","will have","have","would have","had"
"'If you ____ earlier, you would not have missed the bus.'","left","had left","would leave","had left"
"Which is a first conditional sentence?","If he eats too much, he will feel sick","If she had known...","If I were you...","If he eats too much, he will feel sick"
"'If they ____ enough money, they could buy a new house.'","had","will have","would have","have"
"Which type of sentence makes a statement?","Declarative","Exclamatory","Imperative","Declarative"
"Which sentence expresses strong emotion?","Declarative","Exclamatory","Imperative","Exclamatory"
"Which sentence gives a command?","Declarative","Exclamatory","Imperative","Imperative"
"What type of sentence asks a question?","Declarative","Exclamatory","Imperative","Interrogative"
"Identify the sentence type: 'Please close the door.'","Declarative","Exclamatory","Imperative","Imperative"
"Identify: 'Wow! That was amazing!'","Declarative","Exclamatory","Imperative","Exclamatory"
"Identify: 'What is your favorite book?'","Declarative","Exclamatory","Imperative","Interrogative"
"Identify: 'The sun sets in the west.'","Declarative","Exclamatory","Imperative","Declarative"
"Which sentence type often starts with a verb?","Declarative","Exclamatory","Imperative","Imperative"
"What punctuation ends an interrogative sentence?","Period","Exclamation","Comma","Question mark"
"Which sentence can be imperative or exclamatory?","Declarative","Exclamatory","Imperative","Imperative"
"What is the function of a declarative sentence?","To make a statement","To express emotion","To give a command","To make a statement"
"'Did you enjoy the movie?' — type?","Declarative","Exclamatory","Imperative","Interrogative"
"Which sentence type provides information?","Declarative","Exclamatory","Imperative","Declarative"
"What punctuation ends a declarative sentence?","Period","Exclamation","Comma","Period"
"Which of the following is a correct usage of elif?","if x > 10: print('Greater')","elif x == 10: print('Equal')","if x < 10: print('Lesser')","All of the above"
"What is the output if x = 10?\nif x > 10: print('Greater') elif x < 10: print('Lesser') else: print('Equal')","Greater","Lesser","Equal","Equal"
"How can you implement switch-case in Python?","Using if-elif","Using lists","Using dictionaries","Using dictionaries"
"Correct dictionary initialization for switch-case?","switch = {case1: action1}","switch = {case1: action1()}","switch = case1: action1","switch = {case1: action1}"
"What happens if .get() is used on a missing key?","Error","None","Default value","None"
"What is short-circuiting?","Skipping to end","Stopping evaluation once result known","Using first condition only","Stopping evaluation once result known"
"Output of x = 15 → if x > 10: print('x is greater than 10')","x is greater than 10","x is less than 10","x is equal to 10","x is greater than 10"
"What keyword exits a conditional early?","break","exit","return","break"
"Output if x = 0 → if x: print('True') else: print('False')","TRUE","FALSE","None","FALSE"
"Which checks if x is in range 5–10?","x >= 5 and x <= 10","5 <= x <= 10","x in range(5,10)","All of the above"
"How to avoid deep nesting in if-else?","Use switch-case","Use functions","Combine conditions","All of the above"
"Output of if x==10: print('x is ten')","x is ten","greater","less","x is ten"
"What describes switch-case?","Series of if-else","Handle multiple conditions from one variable","Define functions","Handle multiple conditions from one variable"
"Output if number=4 → even/odd check","Even","Odd","Error","Even"
"Purpose of else in if-else?","Define condition","Action if condition false","Terminate program","Action if condition false"
"Default case using dictionary switch?","switch[default]","switch.get(choice, default)","switch[choice]","switch.get(choice, default)"
"What happens if if-condition false?","if block runs","elif runs","else block runs","else block runs"
"What is true about elif?","Replaces many else","Only appears after if","Can be used without else","All of the above"
"Correct syntax of while loop?","while (condition) { }","while condition :","while condition then","while condition :"
"Simulating do-while in Python?","while condition","for condition","condition at end","Use while with condition at end"
"Output of i=1 while i<=3: print(i); i+=1","1 2 2003","1 2","1 2 3","1 2 3"
"Function used with for loops for sequence?","range()","list()","sequence()","range()"
"Output of i=1 while i<5: i+=1 print(i)","1","5","6","5"
"break is used to:","Stop loop","Skip iteration","Restart loop","Stop loop"
"What does continue do?","Exit loop","Skip rest of code this iteration","Restart loop","Skip rest of code this iteration"
